
City	FAA	IATA	ICAO	Airport	Role	Enplanements
Unalakleet	UNK	UNK	PAUN	Unalakleet Airport	P-N	12,693
Unalaska	DUT	DUT	PADU	Unalaska Airport (Tom Madsen Airport)	P-N	26,711
Valdez	VDZ	VDZ	PAVD	Valdez Airport (Pioneer Field)	P-N	15,739
Wrangell	WRG	WRG	PAWG	Wrangell Airport (also see Wrangell Seaplane Base)	P-N	10,882
Yakutat	YAK	YAK	PAYA	Yakutat Airport (also see Yakutat Seaplane Base)	P-N	10,035
ARIZONA						
Bullhead City	IFP	IFP	KIFP	Laughlin/Bullhead International Airport	P-N	121,468
Flagstaff	FLG	FLG	KFLG	Flagstaff Pulliam Airport	P-N	62,109
Grand Canyon / Tusayan	GCN	GCN	KGCN	Grand Canyon National Park Airport	P-N	318,622
Mesa	IWA	AZA	KIWA	Phoenix-Mesa Gateway Airport	P-N	417,862
Page	PGA	PGA	KPGA	Page Municipal Airport	P-N	20,264
Peach Springs	1G4	GCW		Grand Canyon West Airport	P-N	60,682
Phoenix	PHX	PHX	KPHX	Phoenix Sky Harbor International Airport	P-L	18,907,171
Tucson	TUS	TUS	KTUS	Tucson International Airport	P-M	1,844,228
Yuma	NYL	YUM	KNYL	Yuma International Airport / MCAS Yuma	P-N	82,163
ARKANSAS						
Fayetteville	XNA	XNA	KXNA	Northwest Arkansas Regional Airport	P-S	549,195
Fort Smith	FSM	FSM	KFSM	Fort Smith Regional Airport	P-N	83,902
Little Rock	LIT	LIT	KLIT	Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National)	P-S	1,097,403
Texarkana	TXK	TXK	KTXK	Texarkana Regional Airport (Webb Field)	P-N	26,690
CALIFORNIA						
Arcata / Eureka	ACV	ACV	KACV	Arcata Airport	P-N	93,402
Bakersfield	BFL	BFL	KBFL	Meadows Field	P-N	148,347
Burbank	BUR	BUR	KBUR	Bob Hope Airport	P-M	2,239,804
Carlsbad	CRQ	CLD	KCRQ	McClellan-Palomar Airport	P-N	45,518
Chico	CIC	CIC	KCIC	Chico Municipal Airport	P-N	23,272
Crescent City	CEC	CEC	KCEC	Del Norte County Airport (Jack McNamara Field)	P-N	14,341
Fresno	FAT	FAT	KFAT	Fresno Yosemite International Airport	P-S	569,879
Inyokern	IYK	IYK	KIYK	Inyokern Airport	P-N	11,109
Long Beach	LGB	LGB	KLGB	Long Beach Airport (Daugherty Field)	P-S	1,512,212
Los Angeles	LAX	LAX	KLAX	Los Angeles International Airport	P-L	30,528,737
Mammoth Lakes	MMH	MMH	KMMH	Mammoth Yosemite Airport	P-N [nb 4]	26,201
Modesto	MOD	MOD	KMOD	Modesto City-County Airport (Harry Sham Field)	P-N	23,487
Monterey	MRY	MRY	KMRY	Monterey Regional Airport (was Monterey Peninsula Airport)	P-N	190,527
Oakland	OAK	OAK	KOAK	Oakland International Airport	P-M	4,673,417
Ontario	ONT	ONT	KONT	Ontario International Airport	P-M	2,380,881
Palm Springs	PSP	PSP	KPSP	Palm Springs International Airport	P-S	759,510
Redding	RDD	RDD	KRDD	Redding Municipal Airport	P-N	54,420
Sacramento	SMF	SMF	KSMF	Sacramento International Airport	P-M	4,424,279
San Diego	SAN	SAN	KSAN	San Diego International Airport	P-L	8,430,509
San Francisco	SFO	SFO	KSFO	San Francisco International Airport	P-L	20,038,679
San Jose	SJC	SJC	KSJC	Norman Y. Mineta San José International Airport	P-M	4,108,167
San Luis Obispo	SBP	SBP	KSBP	San Luis Obispo County Regional Airport (McChesney Field)	P-N	129,220
Santa Ana	SNA	SNA	KSNA	John Wayne Airport – Orange County (was Orange County Airport)	P-M	4,278,623
Santa Barbara	SBA	SBA	KSBA	Santa Barbara Municipal Airport (Santa Barbara Airport)	P-S	382,894
Santa Maria	SMX	SMX	KSMX	Santa Maria Public Airport (Capt G. Allan Hancock Field)	P-N	47,741
Santa Rosa	STS	STS	KSTS	Charles M. Schulz - Sonoma County Airport	P-N	102,414
Stockton	SCK	SCK	KSCK	Stockton Metropolitan Airport	P-N	56,044
COLORADO						
Aspen	ASE	ASE	KASE	Aspen-Pitkin County Airport (Sardy Field)	P-N	222,755
Colorado Springs	COS	COS	KCOS	City of Colorado Springs Municipal Airport	P-S	877,367
