
City	FAA	IATA	ICAO	Airport	Role	Enplanements
Fort Hood / Killeen / Temple	GRK	GRK	KGRK	Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield	P-N	243,861
Harlingen	HRL	HRL	KHRL	Valley International Airport	P-S	373,438
Houston	IAH	IAH	KIAH	George Bush Intercontinental Airport	P-L	19,528,631
Houston	HOU	HOU	KHOU	William P. Hobby Airport	P-M	4,357,835
Laredo	LRD	LRD	KLRD	Laredo International Airport	P-N	112,520
Longview	GGG	GGG	KGGG	East Texas Regional Airport	P-N	21,830
Lubbock	LBB	LBB	KLBB	Lubbock Preston Smith International Airport	P-S	508,858
McAllen	MFE	MFE	KMFE	McAllen-Miller International Airport (McAllen Miller International)	P-S	344,302
Midland	MAF	MAF	KMAF	Midland International Airport	P-S	445,043
San Angelo	SJT	SJT	KSJT	San Angelo Regional Airport (Mathis Field)	P-N	56,021
San Antonio	SAT	SAT	KSAT	San Antonio International Airport	P-M	3,916,320
Tyler	TYR	TYR	KTYR	Tyler Pounds Regional Airport	P-N	74,357
Waco	ACT	ACT	KACT	Waco Regional Airport	P-N	61,401
Wichita Falls	SPS	SPS	KSPS	Wichita Falls Municipal Airport / Sheppard Air Force Base	P-N	44,296
UTAH						
Provo	PVU	PVU	KPVU	Provo Municipal Airport (14,858 enplanements in 2011)[2]	P-N [nb 17]	1,124
Salt Lake City	SLC	SLC	KSLC	Salt Lake City International Airport	P-L	9,910,493
St. George / Beaver	SGU	SGU	KSGU	St. George Municipal Airport (opened 2011)	P-N [nb 18]	37,596
Wendover	ENV	ENV	KENV	Wendover Airport (charter flights)	P-N [nb 19]	50,734
VERMONT						
Burlington	BTV	BTV	KBTV	Burlington International Airport	P-S	640,790
VIRGINIA						
Charlottesville	CHO	CHO	KCHO	Charlottesville–Albemarle Airport	P-N	197,776
Lynchburg	LYH	LYH	KLYH	Lynchburg Regional Airport (Preston Glenn Field)	P-N	93,772
Newport News	PHF	PHF	KPHF	Newport News/Williamsburg International Airport	P-S	519,906
Norfolk	ORF	ORF	KORF	Norfolk International Airport	P-S	1,663,294
Richmond	RIC	RIC	KRIC	Richmond International Airport (Byrd Field)	P-S	1,651,131
Roanoke	ROA	ROA	KROA	Roanoke Regional Airport (Woodrum Field)	P-N	316,478
Staunton / Waynesboro / Harrisonburg	SHD	SHD	KSHD	Shenandoah Valley Regional Airport	P-N [nb 20]	10,408
Washington, D.C. / Arlington County	DCA	DCA	KDCA	Ronald Reagan Washington National Airport	P-L	8,736,804
Washington, D.C. / Chantilly / Dulles	IAD	IAD	KIAD	Washington Dulles International Airport	P-L	11,276,481
WASHINGTON						
Bellingham	BLI	BLI	KBLI	Bellingham International Airport	P-N	398,368
Friday Harbor	FHR	FRD	KFHR	Friday Harbor Airport	P-N	12,381
Pasco	PSC	PSC	KPSC	Tri-Cities Airport	P-N	312,915
Port Angeles	CLM	CLM	KCLM	William R. Fairchild International Airport	P-N	10,616
Pullman / Moscow, Idaho	PUW	PUW	KPUW	Pullman/Moscow Regional Airport	P-N	35,248
Seattle	BFI	BFI	KBFI	King County International Airport (Boeing Field)	P-N	33,656
Seattle / Tacoma (SeaTac)	SEA	SEA	KSEA	Seattle-Tacoma International Airport	P-L	15,406,243
Spokane	GEG	GEG	KGEG	Spokane International Airport (Geiger Field)	P-S	1,545,115
Walla Walla	ALW	ALW	KALW	Walla Walla Regional Airport	P-N	29,064
Wenatchee	EAT	EAT	KEAT	Pangborn Memorial Airport	P-N	46,837
Yakima	YKM	YKM	KYKM	Yakima Air Terminal (McAllister Field)	P-N	53,832
WEST VIRGINIA						
Charleston	CRW	CRW	KCRW	Yeager Airport	P-N	264,818
Clarksburg	CKB	CKB	KCKB	North Central West Virginia Airport (was Harrison-Marion Regional)	P-N	10,694
Huntington	HTS	HTS	KHTS	Tri-State Airport (Milton J. Ferguson Field)	P-N	115,263
Lewisburg	LWB	LWB	KLWB	Greenbrier Valley Airport	P-N [nb 21]	12,293
Morgantown	MGW	MGW	KMGW	Morgantown Municipal Airport (Walter L. Bill Hart Field)	P-N	11,249
WISCONSIN						
Appleton	ATW	ATW	KATW	Outagamie County Regional Airport	P-N	259,340
Eau Claire	EAU	EAU	KEAU	Chippewa Valley Regional Airport	P-N	18,762
Green Bay	GRB	GRB	KGRB	Austin Straubel International Airport	P-S	410,348
La Crosse	LSE	LSE	KLSE	La Crosse Regional Airport	P-N	111,462
Madison	MSN	MSN	KMSN	Dane County Regional Airport (Truax Field)	P-S	728,075
Milwaukee	MKE	MKE	KMKE	General Mitchell International Airport	P-M	3,861,333
Wausau	CWA	CWA	KCWA	Central Wisconsin Airport	P-N	154,312
Rhinelander	RHI	RHI	KRHI	Rhinelander-Oneida County Airport	P-N	26,193
WYOMING						
Casper	CPR	CPR	KCPR	Casper/Natrona County International Airport	P-N	74,167
Cheyenne	CYS	CYS	KCYS	Cheyenne Regional Airport (Jerry Olson Field)	P-N	16,697
Cody	COD	COD	KCOD	Yellowstone Regional Airport	P-N	25,863
Gillette	GCC	GCC	KGCC	Gillette-Campbell County Airport	P-N	28,232
Jackson	JAC	JAC	KJAC	Jackson Hole Airport	P-N	305,566
Laramie	LAR	LAR	KLAR	Laramie Regional Airport	P-N	10,371
Riverton	RIW	RIW	KRIW	Riverton Regional Airport	P-N	17,035
Rock Springs	RKS	RKS	KRKS	Rock Springs – Sweetwater County Airport	P-N	25,541
Sheridan	SHR	SHR	KSHR	Sheridan County Airport	P-N	17,710
AMERICAN SAMOA						
Pago Pago, Tutuila	PPG	PPG	NSTU	Pago Pago International Airport	P-N	45,206
GUAM						
Agana / Tamuning	GUM	GUM	PGUM	Antonio B. Won Pat International Airport	P-S	1,314,725
NORTHERN MARIANAS						
Obyan, Saipan Island	GSN	SPN	PGSN	Saipan International Airport (Francisco C. Ada)	P-S	441,013
Rota Island	GRO	ROP	PGRO	Rota International Airport	P-N	27,776
Tinian Island	TNI	TIQ	PGWT	Tinian International Airport (West Tinian)	P-N	24,806
PUERTO RICO						
Aguadilla	BQN	BQN	TJBQ	Rafael Hernández International Airport	P-N	240,270
Ponce	PSE	PSE	TJPS	Mercedita International Airport	P-N	110,159
San Juan / Carolina	SJU	SJU	TJSJ	Luis Muñoz Marín International Airport	P-M	4,635,798
San Juan / Miramar	SIG	SIG	TJIG	Fernando Luis Ribas Dominicci Airport (Isla Grande Airport)	P-N [nb 22]	13,837
Vieques	VQS	VQS	TJVQ	Antonio Rivera Rodríguez Airport	P-N	21,517
U.S. VIRGIN ISLANDS						
Charlotte Amalie, St. Thomas	STT	STT	TIST	Cyril E. King Airport	P-S	593,589
Christiansted, St. Croix	STX	STX	TISX
